id,name,group,mode,source,expectedGeometry,originType,dataStatus,validationLevel,license,url,sourcePage,downloadUrl,deriveAction
municipios_sedes,Sedes municipais e população estimada 2025,territorio,embedded,IBGE e compilação municipal do projeto,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
municipios_limites,Limites municipais,territorio,arcgis,PIN MS e IMASUL,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/ESTADO_DE_MS_POLITICO/FeatureServer/0,,,
localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,arcgis,PIN MS e AGRAER,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,,,
localidades_populacoes,Localidades e populações consolidadas,territorio,embedded,IBGE e núcleo local consolidado da v1.7.0,Mixed,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
localidades_ibge_completas,Localidades completas do IBGE,territorio,ibgezip,IBGE Localidades do Brasil 2022,Conforme fonte,download oficial,processamento sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,,,
assentamentos_rurais_incra,Assentamentos rurais da reforma agrária,territorio,arcgis,"INCRA, projetos de assentamento publicados no PAMGIA IBAMA",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/assentamentos_incra/FeatureServer/1,,,
localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,embedded,"IBGE Censo Demográfico 2022, atualização de 19 de setembro de 2025",Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,embedded,"IBGE Censo Demográfico 2022, arquivo de 10 de julho de 2024",Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
terras_indigenas_poligonos,Terras indígenas e fases administrativas,comunidades,arcgis,FUNAI. Polígonos oficiais e fases administrativas. Serviço sincronizado pelo PAMGIA IBAMA,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/lim_terra_indigena_a/FeatureServer/12,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,https://geoserver.funai.gov.br/geoserver/Funai/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=Funai%3Aterra_indigena&outputFormat=SHAPE-ZIP&CQL_FILTER=uf_sigla%3D%27MS%27,
municipios_pontos_fronteira_alfandegados,Municípios com pontos alfandegados de fronteira,mobilidade,embedded,Receita Federal do Brasil e sedes municipais IBGE. Os pontos representam municípios e não a localização exata dos postos,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
