index,grupo,instituicao,ano,titulo,url,nota,acesso,tipo_fonte,referencia_apa7,camadas_relacionadas,uso_no_projeto
0,"Projeto, equipe e PRICI",Organização de Estados Ibero-americanos,2026,"Programa de Rotas e Itinerários Culturais Ibero-americanos, PRICI",https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos/,,5 ago. 2026,Página institucional ou portal,"Organização de Estados Ibero-americanos. (2026). *Programa de Rotas e Itinerários Culturais Ibero-americanos, PRICI* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos",,"Fonte do grupo temático Projeto, equipe e PRICI."
1,"Projeto, equipe e PRICI",Organização de Estados Ibero-americanos,2026,"Declaração da I Reunião do Programa de Rotas e Itinerários Culturais Ibero-americanos, Huelva, 4 de junho de 2026",https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf,,5 ago. 2026,Documento ou publicação institucional,"Organização de Estados Ibero-americanos. (2026). *Declaração da I Reunião do Programa de Rotas e Itinerários Culturais Ibero-americanos, Huelva, 4 de junho de 2026* [Documento ou publicação institucional]. https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf",,"Fonte do grupo temático Projeto, equipe e PRICI."
2,"Projeto, equipe e PRICI",ORCID,s.d.,"Carlos Busón Buesa, registro ORCID 0000-0002-1446-2252",https://orcid.org/0000-0002-1446-2252,,5 ago. 2026,Página institucional ou portal,"ORCID. (s.d.). *Carlos Busón Buesa, registro ORCID 0000-0002-1446-2252* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://orcid.org/0000-0002-1446-2252",,"Fonte do grupo temático Projeto, equipe e PRICI."
3,"Projeto, equipe e PRICI",Universidade Estadual de Mato Grosso do Sul,2026,Corpo docente do Programa de Pós-Graduação em Desenvolvimento Regional e de Sistemas Produtivos,https://www.uems.br/ppg/ppgdrs/Corpo-Docente,Perfil institucional de Carlos Otávio Zamberlan,5 ago. 2026,Página institucional ou portal,"Universidade Estadual de Mato Grosso do Sul. (2026). *Corpo docente do Programa de Pós-Graduação em Desenvolvimento Regional e de Sistemas Produtivos* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.uems.br/ppg/ppgdrs/Corpo-Docente",,Perfil institucional de Carlos Otávio Zamberlan
4,"Projeto, equipe e PRICI",Universidade Estadual de Mato Grosso do Sul,2026,Docentes do curso de Administração da Unidade de Ponta Porã,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes,Perfil institucional de Moisés Centenaro,5 ago. 2026,Página institucional ou portal,"Universidade Estadual de Mato Grosso do Sul. (2026). *Docentes do curso de Administração da Unidade de Ponta Porã* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes",,Perfil institucional de Moisés Centenaro
5,"Projeto, equipe e PRICI",ORCID,s.d.,"Carlos Otávio Zamberlan, registro ORCID 0000-0001-9975-9612",https://orcid.org/0000-0001-9975-9612,,5 ago. 2026,Página institucional ou portal,"ORCID. (s.d.). *Carlos Otávio Zamberlan, registro ORCID 0000-0001-9975-9612* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://orcid.org/0000-0001-9975-9612",,"Fonte do grupo temático Projeto, equipe e PRICI."
6,"Projeto, equipe e PRICI",ORCID,s.d.,"Moisés Centenaro, registro ORCID 0000-0003-2299-9102",https://orcid.org/0000-0003-2299-9102,,5 ago. 2026,Página institucional ou portal,"ORCID. (s.d.). *Moisés Centenaro, registro ORCID 0000-0003-2299-9102* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://orcid.org/0000-0003-2299-9102",,"Fonte do grupo temático Projeto, equipe e PRICI."
7,"Território, municípios e população",IBGE,2025,"Malha Municipal Digital 2025, Mato Grosso do Sul",https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip,,5 ago. 2026,Conjunto de dados,"IBGE. (2025). *Malha Municipal Digital 2025, Mato Grosso do Sul* [Conjunto de dados]. https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip",,"Fonte do grupo temático Território, municípios e população."
8,"Território, municípios e população",IBGE,2025,Estimativas da população residente para os municípios e unidades da Federação,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,,5 ago. 2026,Página institucional ou portal,"IBGE. (2025). *Estimativas da população residente para os municípios e unidades da Federação* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html",,"Fonte do grupo temático Território, municípios e população."
9,"Território, municípios e população",IBGE,s.d.,IBGE Cidades e Estados,https://cidades.ibge.gov.br/,,5 ago. 2026,Página institucional ou portal,"IBGE. (s.d.). *IBGE Cidades e Estados* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://cidades.ibge.gov.br",,"Fonte do grupo temático Território, municípios e população."
