camada_id,camada,grupo,fonte,url,pagina_fonte,status_dados,validacao
municipios_sedes,Sedes municipais e população estimada 2025,territorio,IBGE e compilação municipal do projeto,,,incorporada no pacote,documental
municipios_limites,Limites municipais,territorio,PIN MS e IMASUL,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/ESTADO_DE_MS_POLITICO/FeatureServer/0,,capturável sob demanda,oficial na fonte
localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,PIN MS e AGRAER,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,,capturável sob demanda,oficial na fonte
localidades_populacoes,Localidades e populações consolidadas,territorio,IBGE e núcleo local consolidado da v1.7.0,,,incorporada no pacote,documental
localidades_ibge_completas,Localidades completas do IBGE,territorio,IBGE Localidades do Brasil 2022,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,,processamento sob demanda,oficial na fonte
assentamentos_rurais_incra,Assentamentos rurais da reforma agrária,territorio,"INCRA, projetos de assentamento publicados no PAMGIA IBAMA",https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/assentamentos_incra/FeatureServer/1,,capturável sob demanda,oficial na fonte
localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,"IBGE Censo Demográfico 2022, atualização de 19 de setembro de 2025",,,incorporada no pacote,documental
localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,"IBGE Censo Demográfico 2022, arquivo de 10 de julho de 2024",,,incorporada no pacote,documental
terras_indigenas_poligonos,Terras indígenas e fases administrativas,comunidades,FUNAI. Polígonos oficiais e fases administrativas. Serviço sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/lim_terra_indigena_a/FeatureServer/12,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,capturável sob demanda,oficial na fonte
municipios_pontos_fronteira_alfandegados,Municípios com pontos alfandegados de fronteira,mobilidade,Receita Federal do Brasil e sedes municipais IBGE. Os pontos representam municípios e não a localização exata dos postos,,,incorporada no pacote,documental
retirada_laguna_nodos_municipais,Nós municipais da Retirada da Laguna,patrimonio,Decreto Estadual nº 12.897 de 2009 e sedes municipais IBGE. Não constitui uma linha oficial de rota,,,incorporada no pacote,documental
territorios_quilombolas_poligonos,Territórios quilombolas delimitados e titulados,comunidades,"INCRA, camada sincronizada pelo PAMGIA IBAMA",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_quilombos_incra_a/FeatureServer/0,,capturável sob demanda,oficial na fonte
rodovias_estaduais,Rodovias estaduais,infra,"PIN MS, AGRAER e AGESUL",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/1,,capturável sob demanda,oficial na fonte
rodovias_federais,Rodovias federais,infra,PIN MS e DNIT,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/2,,capturável sob demanda,oficial na fonte
estradas_vicinais,Estradas vicinais,infra,PIN MS e AGRAER,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,,capturável sob demanda,oficial na fonte
rede_hidrica,Rede hídrica,infra,"PIN MS, AGRAER e ANA",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,,capturável sob demanda,oficial na fonte
bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,Banco de Referências Culturais do IPHAN,,,incorporada no pacote,documental
sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,IPHAN sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/MapServer/0,,capturável sob demanda,oficial na fonte
sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,IPHAN sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,,capturável sob demanda,oficial na fonte
escolas,Escolas do Censo Escolar,educacao,INEP Censo Escolar 2025,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,,processamento sob demanda,oficial na fonte
campus_ensino_superior,"Referências cartográficas preliminares — Campus universitários, faculdades e institutos federais",educacao,"Captura espacial OpenStreetMap. Validação institucional por e-MEC, UFMS, UEMS, UFGD e IFMS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://emec.mec.gov.br/,,captura preliminar sujeita a validação,exploratória
geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,geodiversidade,Levantamento do projeto,,,incorporada no pacote,documental
geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,Serviço Geológico do Brasil. Registros com status Em análise na data de corte,,,incorporada no pacote,documental
geossitios_decreto_12897_2009,54 geossítios do Decreto Estadual 12.897 de 2009,geodiversidade,"Governo de Mato Grosso do Sul. Anexo I do Decreto Estadual nº 12.897/2009. 54 registros documentais, 40 pontos georreferenciados e 14 geometrias pendentes",,,incorporada no pacote,documental
mapa_geologico_ms,Mapa geológico de Mato Grosso do Sul 1:1.000.000,geodiversidade,"Serviço Geológico do Brasil, unidades litoestratigráficas do mapeamento estadual 1:1.000.000 [2006]",https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer/7,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer,capturável sob demanda,oficial na fonte
mapa_hidrogeologico_ms,Mapa hidrogeológico de Mato Grosso do Sul,geodiversidade,"Serviço Geológico do Brasil. Recorte vetorial do Atlas Hidrogeológico e referência ao mapa estadual 2024, escala 1:1.000.000",https://geoportal.sgb.gov.br/server/rest/services/hidrologia/Mapa_Hidrogeologico_Atlas_Brasil/MapServer/1,https://rigeo.sgb.gov.br/handle/doc/25365,capturável sob demanda,oficial na fonte
sistema_aquifero_guarani_ana,Sistema Aquífero Guarani,geodiversidade,ANA. Sistemas Aquíferos do Brasil. Geometria local ainda não incorporada nesta versão,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,consulta externa,documental
mapa_geomorfologico_ibge,Mapa geomorfológico do estado,geodiversidade,"IBGE BDiA. Geomorfologia, unidades do relevo e dados vetoriais oficiais",https://bdiaweb.ibge.gov.br/,https://www.ibge.gov.br/geociencias/informacoes-ambientais/geomorfologia/10870-geomorfologia.html,consulta externa,documental
